source	sha256	area	tickets	verification
story:001	b35895127af98d1ee9156e0109e559fe78e9ffbb7ebf7ffc79e1ede7d8793bf3	operator	04	tests.test_cli.RunCommandTest;tests.test_database.ProgramRunTest
story:002	e030cbee23e5b51f88891671e0f82f581f62d0801a065ac4a35f91378844972e	operator	04	tests.test_database.ProgramRunTest;tests.test_cli.RunCommandTest
story:003	a8f713e95e7d12d0d01bbfbe280546ff378a21c246513ffa39bd3d72d8b51d40	operator	04	tests.test_config.ValidConfigurationTest;tests.test_program.RefusalTest
story:004	2650267faca7c0b9171a5dfd964f7945b8833c300271241ddb005b8cbaa68524	runtime	08	tests.test_scope.CompilationTest;tests.test_config.ScopeTest
story:005	416d2cba63ffcf03023009f7cc0d5004e9ac0c6430c8132d6ba0c3468f9839e1	runtime	08	tests.test_scope.CompilationTest;tests.test_scope.CanonicalFormTest
story:006	e6118743cc22c41d51b75a89b3bc1c32d21a6acf7ed6f2074f87d79988fdb8ff	operator	08	tests.test_config.ControlsTest;tests.test_scope.PermissionTest
story:007	2682d9e44588a4514eaf3ac5ff79a0d90c384f76730f38cf1fb71637fa0103c8	operator	38	tests.test_scope.PermissionTest;tests.test_database.ImpactProofTest
story:008	fda36bfd6e4bf0a45e5e09874952e1ceab96786bd74796b56c23c9cc60b54727	runtime	12	tests.test_scope.RequiredHeaderTest;tests.test_cli.HeaderCommandTest
story:009	93372226ceb42cb0c1a88ff01974d2231537b9fae4820fdeefa4b2a5dcc643f2	runtime	14,69	tests.test_callback.ChannelProjectionTest;tests.test_oob.PublishableTest
story:010	c5a3227c8a70173722efdf35db75469309c57907b8582b2237001ff7dfa3b554	operator	04	tests.test_config.SourceTest;tests.test_database.ProgramRunTest
story:011	ea723093dda5086b1ba7d84f907a35f22941dd95925d661c6cca08a7a79f62e3	runtime	08,12	tests.test_database.ProxyEgressTest.test_a_configuration_change_invalidates_the_stale_identity_ciphertext
story:012	384cc31b9d17953dd6d7c75f7b6336ec729eb5f1f5b4f99774c06c14a5290ad7	operator	02	tests.test_doctor.ReadinessTest;tests.test_doctor.SubjectTest;tests.test_cli.DoctorCommandTest
story:013	3329cdc4cd6a66ba3ad72bc0bdf5618b917dfcbf19ace81f5c38e13269e50be8	operator	03	tests.test_migrate.PlanTest;tests.test_cli.DatabaseCommandTest
story:014	c6dd3ab4aeccabc2ff71e037d1a756d4bf11a903e35f82178c5f6d808be047d6	runtime	13	tests.test_database.ProxyEgressTest;tests.test_operator.HaltTest
story:015	0f84fb82914f78818f775335f0e5975e4e2853c5783dbcd90171494153b52459	operator	29	tests.test_operator.HaltTest;tests.test_cli.OperatorCommandTest
story:016	489e4bc90501920613eb6cc8cc4aa13a80d55e79fc32a6334edfef43a1348b83	operator	29	tests.test_database.OperatorDecisionTest;tests.test_cli.DecisionCommandTest
story:017	747db4a13d55992ea39ee53ac90834d05a3308a71f3b785c2107cfe76503871a	operator	29	tests.test_decisions.CommandTest;tests.test_operator.QueueTest
story:018	a3761f21e1e811af533cdd438422a2cfe6573b44bcfb36ece2cf9dbb62e930cb	runtime	25	tests.test_database.BudgetReservationTest;tests.test_config.ControlsTest
story:019	91108c9771b51593e3721da61917c9c5f383b3f1cee82c260471b5eb335f252c	runtime	25	tests.test_database.BudgetReservationTest;tests.test_execution.SlateTest
story:020	5babfa6e2b66d7b0b2b1e05332de5805013acd6422a6959b540eeb36bff43cc5	operator	59	tests.test_cli.StateCommandTest;tests.test_state.ReadTest
story:021	1fdbb0035be16bfcf6a2e20f8b11f6a71ab56b2b6d8571d72ce2ef09689375a8	operator	59	tests.test_state.ReadTest;tests.test_cli.StateCommandTest
story:022	e0e660056e5e8cb8b9214cf192ef1ead6c6294442a0845d8d8c73633cc9833ec	operator	60	tests.test_ui.ProjectionTest;tests.test_cli.OperatorSurfaceTest
story:023	340f5f1b25e18743a65cae451d0ed0debaf85dbc4299fadfdf1a43b09c615e75	operator	59	tests.test_database.OperatorConsoleTest;tests.test_operator.AnswerTest
