id	ledger_id	kind	url	title	version_note	retrieved	digest	note
S0001	exceptional-conditions/01	local	~/Downloads/Personal-Knowledge-Base/3. Completed/Web attacks/Insecure Direct Object References (IDOR)/3_Mass_IDOR_Enumeration_INFO.md	3_Mass_IDOR_Enumeration_INFO.md		2026-08-28	sha256:d083d84eb6053dba61c991c3274b3ce55e7fa6ed3097d95bcce232df1521a202	
S0002	exceptional-conditions/01	external	https://raw.githubusercontent.com/OWASP/wstg/master/document/4-Web_Application_Security_Testing/03-Identity_Management_Testing/04-Testing_for_Account_Enumeration_and_Guessable_User_Account.md	OWASP WSTG-IDNT-04 -- Testing for Account Enumeration and Guessable User Account	master branch post-v4.2 (v5.0 content in development; latest release tag v4.2); fetched by the mining stage 2026-08-28	2026-08-28	sha256:7dd99044c40375758710c1b22af2203d1889efb5013dd05ce3dbeab3ea6f52fd	
S0003	exceptional-conditions/02	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/SQLi/Blind SQL Injection 2722c37daa2980a39cbedcb2f14fbd2b.md	Blind SQL Injection 2722c37daa2980a39cbedcb2f14fbd2b.md		2026-08-28	sha256:64497cf2395c21daaf5837c314175dd0b4e8667b8cb4b59c8e2b4967d5e7b6c8	
S0004	exceptional-conditions/02	local	~/Downloads/Personal-Knowledge-Base/3. Completed/Web attacks/Insecure Direct Object References (IDOR)/3_Mass_IDOR_Enumeration_INFO.md	3_Mass_IDOR_Enumeration_INFO.md		2026-08-28	sha256:d083d84eb6053dba61c991c3274b3ce55e7fa6ed3097d95bcce232df1521a202	
S0005	exceptional-conditions/02	external	https://portswigger.net/web-security/authentication/password-based	PortSwigger Web Security Academy -- Vulnerabilities in password-based login	undated Academy page; mined 2026-08-28	2026-08-28	sha256:9304a8fd729450acb06511c1987bce7722aeca53712b1f113cbf00a11bdf78f0	
S0006	exceptional-conditions/02	external	https://samcurry.net/hacking-subaru	Hacking Subaru -- pre-auth helper endpoint answering for a known identifier	2025-01-23	2026-08-28	sha256:8516550eeb368c4857698cfaf29d803f0489df45b9fbd3f251219196197c4781	
S0007	exceptional-conditions/02	external	https://raw.githubusercontent.com/OWASP/wstg/master/document/4-Web_Application_Security_Testing/03-Identity_Management_Testing/04-Testing_for_Account_Enumeration_and_Guessable_User_Account.md	OWASP WSTG-IDNT-04 -- Testing for Account Enumeration and Guessable User Account	master branch post-v4.2 (v5.0 content in development; latest release tag v4.2); fetched by the mining stage 2026-08-28	2026-08-28	sha256:7dd99044c40375758710c1b22af2203d1889efb5013dd05ce3dbeab3ea6f52fd	
S0008	exceptional-conditions/03	local	~/Downloads/Pentest Docs/Web attacks/Web Attacks/File Upload 2802c37daa29803cb18cdd46323c99d7.md	File Upload 2802c37daa29803cb18cdd46323c99d7.md		2026-08-28	sha256:06cc034f3a9d27f4e2197142cf7c580a8508c121eb00b92018e3092163e017e6	
S0009	exceptional-conditions/03	local	~/Downloads/Personal-Knowledge-Base/3. Completed/File Upload Attacks/Other Upload Attacks/2_Other_Upload_Attacks.md	2_Other_Upload_Attacks.md		2026-08-28	sha256:3473f0a8fbab6e6099db7f26057d1adbb5bbdd5bfb3522974f7a3f4c41956668	
S0010	exceptional-conditions/03	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-BUSL-08 'Test Upload of Unexpected File Types'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0011	exceptional-conditions/03	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0012	exceptional-conditions/04	external	https://raw.githubusercontent.com/OWASP/wstg/master/checklists/checklist.md	OWASP Web Security Testing Guide -- testing checklist, scenario WSTG-ERRH-01 'Testing for Improper Error Handling'	WSTG master-branch checklist, fetched 2026-08-28; last stable release v4.2 (the checklist is the file actually opened, not the scenario chapter)	2026-08-28	sha256:1b69e92583c329f101797041b6fd26bef53f86189d8143d210e618b2e2ccbd32	
S0013	exceptional-conditions/04	external	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf	NIST SP 800-115, Technical Guide to Information Security Testing and Assessment -- Appendix B s3.2, the halt and notification shape every stop_conditions string in this file follows	NIST SP 800-115, September 2008 (carried from the ticket 101 mining shards; not re-fetched at ledger time)	2026-08-28	sha256:58e5ed41e5c8ca34ce14fd80b70f118f2c6d613d1647bc307edca30bcc45f063	
S0014	exceptional-conditions/05	local	~/hacking-wiki/concepts/padding-oracles.md	padding-oracles.md		2026-08-28	sha256:669d87d6b2e89355ffdcbcea1d1d2e4bf24a1e3adcae6124ecc82aceb3fd0395	
