source	sha256	disposition	replacement	verification	rationale
.claude/agents/abuse-case-adversary.md	89fe1ff1fe61fba413b55e709af2276c2cfd2d4a1eef9aabadb3aa6d87f58a51	rewritten	role:web_hunter	tests/test_roster.py	one of five v1 web lenses; the lens is a prompt, not an authority, so it is a way of running the web hunter rather than a sixth role
.claude/agents/boundary-breaker.md	2ca3886129df4df9e6c6ba250e661b205fef89e622c3245cbeebe7ae1bba6b8d	rewritten	role:web_hunter	tests/test_roster.py	one of five v1 web lenses; boundary probing is what the web hunter does with a Playbook, not a separate set of tools
.claude/agents/bypass-specialist.md	8f0324bd6d50340ede695f8a2f8c304532a48a9ed2adc2443b93d22e8e065d66	rewritten	role:web_hunter	tests/test_roster.py	one of five v1 web lenses; bypass work needs the same capabilities as the hunt it is part of
.claude/agents/code-auditor.md	0070474033ca7d768fcc101115c9668cd1fc8007c6f3125a0afd89da0fe98f1a	rewritten	role:js_analyst	tests/test_roster.py	one of two v1 source lenses; source review runs in the JS analyst's container over a stored artifact
.claude/agents/code-mapper.md	9dbcbfc881355c14a642ef237a579ab04b8c4341895584e7902385c21e6aeba4	rewritten	role:js_analyst	tests/test_roster.py	one of two v1 source lenses; mapping is the same analysis with a different question
.claude/agents/exploit-agent.md	bc03cdd78a4cd411d60804ad4a29d086182a522bc103dc8efbaa416aebccc7f9	rewritten	role:web_hunter	tests/test_roster.py	one of five v1 web lenses; proving impact is authorised per Program now, so it cannot be a standing Agent
.claude/agents/mobile-android-hunter.md	1c6bb7182539b39c12c1f71ab052ff95455f6d7e908e10bc900ac9fc28276499	retired	retired:android	baseline/v1-dispositions.json	Android is out of scope: no Program can name a device, so this lens has nothing to look at
.claude/agents/recon-agent.md	89eefe8e8b6498c24e6087afc7812d486322d9ea06feca1c84af2b30ff93cf15	rewritten	role:recon	tests/test_roster.py	one of two v1 recon lenses; recon proposes Surface through a Mission result and owns no workflow
.claude/agents/reporter.md	93aa7161c88b0ed9da3d9c5b9ca47fc5510136bb557e6ec57db37f70d71a5731	rewritten	role:reporter	tests/test_roster.py	the report is a projection of what holds, so the role writes no prose the database cannot back
.claude/agents/surface-archaeologist.md	382cf5176b98d6d1aea384096bf6d76eea259fab2088f4dff38f72601a49675b	rewritten	role:recon	tests/test_roster.py	one of two v1 recon lenses; historical surface is the same Mission with different inputs
.claude/agents/web-vuln-hunter.md	086d525a7d039bf684a5ca2bc9ff1a26f9f02c627e65526857ce17be28e513c0	rewritten	role:web_hunter	tests/test_roster.py	the v1 web lens the production web hunter is named after
.claude/skills/access-control	f4285993d46bd10c49f633b99fcaa55008569bda7ef495293e67c912e54b1e8b	absorbed	property_class:authorization	tests/test_database.py	a routing Skill: what it selected for is the authorization family, which is now a vocabulary entry the selector reads
.claude/skills/agentic-ai	790a6f2e68c2d5e2ff8846cbb2c0e4ec0f9c533efd1f97d529eaf3b6c12c6a43	absorbed	property_class:injection	tests/test_database.py	a routing Skill: prompt injection is attacker input reaching an interpreter, which is the injection family
.claude/skills/api-stateful	09c13900baaa2b2f02ba51be9e77760da7fdc52c1c41144ba38f523e22c8150c	absorbed	property_class:business_logic	tests/test_database.py	a routing Skill: stateful API abuse is order, quantity and replay, which is the business logic family
.claude/skills/auth-session	a018fbd90c123a986753afceb017bdc847c9f21dde0945055c8b7f0460ba79b0	absorbed	property_class:authentication	tests/test_database.py	a routing Skill: whether the claim to be a principal is verified is the authentication family
.claude/skills/browser-evidence	5c7c6e84220fc02b045cb59a31e7eeb4cd6e5fb61a99bf332619af5de76c3ea1	rewritten	skill:browser-evidence	tests/test_skill.py	a capability Skill that survives: browser evidence is a bounded instruction over the browser Mission
.claude/skills/client-side	593bb25102403d8a2decbdf581817e1b8338ada5e793825e216905330e4695bf	absorbed	property_class:injection.markup	tests/test_database.py	a routing Skill: the leaf it selected for is input reaching the browser as markup or script
