technique	source_url	published	retrieved	digest	property_class	produced	review_by	rationale
host-header-recovery-link	https://portswigger.net/web-security/host-header/exploiting/password-reset-poisoning	undated	2026-08-19	sha256:34a232f6b528f1bc53ad97befb8b124cad829053350268a4556ed4ec583f418f	authentication.recovery_flow	fixture:recovery-flow-pair	2027-08-19	The shape: a recovery route builds the link it sends from an authority the request supplied rather than from the deployment's own, so a caller who asks on somebody else's behalf is answered with a live token addressed to a host it controls. The token itself is sound; what is broken is where it points.
refusal-shape-account-oracle	https://portswigger.net/web-security/authentication/password-based	undated	2026-08-19	sha256:b7091048911a0815df0a8f55c908a512d3fceccd28be7ab65f85b9d062768ca3	information_disclosure.identifier_oracle	fixture:identifier-oracle-pair	2027-08-19	The shape: a sign-in route that refuses correctly still answers a second question, because the refusal for an address nobody registered differs in status or wording from the refusal for a wrong password. One request per candidate then reads the register out of a route that never accepted a bad credential.
batched-operation-cost	https://owasp.org/API-Security/editions/2023/en/0xa4-unrestricted-resource-consumption/	2023	2026-08-19	sha256:9a39250b38962db78112b2fdd052b1f2002dc7cddd67bc11f4ffb42081bae012	rate_limiting.resource_cost	fixture:resource-cost-pair	2027-08-19	The shape: the limit counts requests and the work is priced per operation, so one request carrying a batch spends many times what the operator's limit was written to allow. The limit is present and engages on schedule, which is why a reading that only establishes that a limit exists says nothing about this.
unauthenticated-route-flood	https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html	undated	2026-08-19	sha256:5e213f0d0894c3bc349c262b9739f57c4067a233d9a625b198e68cf1fa8b91ab	rate_limiting.per_origin	fixture:per-origin-limit-pair	2027-08-19	The shape: a route with no session on it can only be counted by where the requests came from, and the counter that would do it is the one most often absent, because the surface it protects has no caller to attribute spending to. The corpus could previously only read a limit off an authenticated sequence.
graphql-alias-rate-bypass	https://portswigger.net/web-security/graphql	undated	2026-08-19	sha256:3a1405529120bb9d39f6865c42e65c813b3da9a3b5a8b77a9449d04c0a9835d1	rate_limiting.resource_cost	covered_by:fixture:resource-cost-pair	-	Aliasing names the same field many times in one document, so one request performs many operations against a limiter that counted the request. That is the same claim the batch fixture already grades; a GraphQL parser between the reading and the ratio would add a surface without adding a question.
parser-differential-request-framing	https://portswigger.net/web-security/request-smuggling	undated	2026-08-19	sha256:7657d1b411aa71a489c5a0131a2f052a90aafe26897c7b495e130ea3e48303d1	transport.request_framing	ungradeable:normalised_by_the_door	-	The technique needs two hops that disagree about where one request ends. Every reading this harness takes crosses its own proxy, which re-frames what it forwards, so a fixture built to disagree with its front end would be graded through a third framer and would measure the door rather than the target.
tls-parameter-floor	https://www.rfc-editor.org/rfc/rfc9325.txt	2022-11	2026-08-19	sha256:e3475381d056bde1eed65252954cce68250168454387f6799b38660806f215bc	transport.tls_configuration	ungradeable:harness_owned	-	Which versions and cipher suites a deployment still accepts is a property of the listener's own TLS parameters. A corpus fixture is served by this harness over the transport the harness chose, so the parameters a reading would grade are the harness's, and the grade would move whenever the harness's did.
service-identity-in-certificate	https://www.rfc-editor.org/rfc/rfc9525.txt	2023-11	2026-08-19	sha256:ed8116c2435376dffe37ec2ca688c3a8515e36820852b29e0b6cdfbe92abd2c5	transport.certificate_trust	ungradeable:harness_owned	-	Whether a client refuses a certificate whose identity does not match the service it dialled is decided by the client's trust store. Inside containment the client trusts the authority the harness issued, so a fixture presenting a mismatched leaf would grade the trust the harness installed rather than a target's.
datagram-transport-reach	https://www.rfc-editor.org/rfc/rfc9114.txt	2022-06	2026-08-19	sha256:6b84555c88eeebcf5d2b2e1d9d7b58630abc97ab877b2cf62dee4cd635db34e4	transport.datagram_transport	ungradeable:protocol_out_of_reach	-	HTTP over QUIC rides datagrams. The door forwards streams and issues a Receipt per connection it proxied; nothing carries a datagram across it, so a fixture served over QUIC could not be dialled at all and a grade against it would be a grade of the containment's shape.
url-parser-disagreement-fetch	https://portswigger.net/web-security/ssrf	undated	2026-08-19	sha256:0b98396588abf92dc810237faabd0c77b1b8cb5ac653c127f7a0fe0bf9c6fe02	injection.url_authority	covered_by:fixture:url-authority-pair	-	A URL allowed by the text it starts with and fetched by the authority a second parser reads out of it is the differential the shipped fixture already serves, down to the non-fetching echo route that separates a parse from a fetch. A second fixture would add rows to grade and no new question.
